	beer_name	abv	brewery	type
175	Lady In White	5.00	The Oozlefinch Craft Brewery	German Hefeweizen
176	Pumpkin Spice Latte (Nitrogen Charged Pumpkin Coffee Stout)	5.50	Breckenridge Brewery	Pumpkin Beer
177	Trappist Westvleteren Blond	5.80	Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)	Belgian Blonde Ale 
178	Double Splash	8.00	Marz Community Brewing	American Imperial IPA
179	Curmudgeon's Better Half	12.70	Founders Brewing Company	English Old Ale
180	Contains Nuts #3 - Coconut & Peanuts	7.70	Cellarmaker Brewing Co.	American Strong Ale
181	Galaxy Park	4.70	Fort Point Beer Company	American Pale Wheat Ale
182	10-10-10 IPA (Bourbon Barrel Aged)	10.00	Swamp Head Brewery	American Imperial IPA
183	Very Best Bad Things	8.00	Barebottle Brewing Company	American Imperial IPA
184	Saison M	7.10	Jolly Pumpkin Artisan Ales	Belgian Saison
185	Hazed & Confused	6.50	Pinthouse Pizza Craft Brewpub	American IPA
186	Summer Wit	4.40	Royal Oak Brewery	Belgian Witbier
187	Holy Trinity 3IPA	11.40	Venn Brewing Co.	American Imperial IPA
188	Ophelia Hoppy Wheat Ale	5.00	Breckenridge Brewery	American Pale Wheat Ale
189	Infinite Wishes - Bourbon Barrel-Aged	12.80	Smog City Brewing	American Imperial Stout
190	Lock Porter	6.00	Big Ditch Brewing Company	American Porter
191	Bourbon County Brand Coffee Stout	12.90	Goose Island Beer Co.	American Imperial Stout
192	Sudwerk Doppel Bock	8.00	Sudwerk Brewing Company	German Doppelbock
193	Citra In Helles	?	Triptych Brewing	German Helles
194	21st Anniversary Ale	?	Brewery Ommegang	Belgian Saison
195	Maggie's Irish Ale	5.60	Saugatuck Brewing Company	Irish Red Ale
196	Blood Orange Rustler IPA	6.20	Payette Brewing	American IPA
197	Professor Plum, In The Brewhouse, With The Mash Paddle	11.00	Elmhurst Brewing Co.	French Bière de Garde
198	Momentary Master - Double Dry-Hopped	8.50	Magnify Brewing Company	American Imperial IPA
199	Softly Spoken Lies - Bourbon Barrel-Aged	12.00	Mikerphone Brewing	American Imperial Stout
200	Chocolate Salty Christmas Balls	10.00	Cervisiam Bryggeri	American Imperial Stout
201	Oktoberfest	6.00	Hinterland Brewery Restaurant	Vienna Lager
202	Rum Barrel Brown	6.50	Legend Brewing Co.	American Brown Ale
203	1927 Pilsner	5.00	Greenport Harbor Brewing Company	American Lager
204	Ode To Blumpy	7.00	Thomas Hooker Brewing Company	American IPA
205	Suburban Beverage	4.20	Perennial Artisan Ales	Leipzig Gose
206	Autopilot	4.00	Hophead Brewing	American Blonde Ale
207	WL Kolsch	5.00	White Lion Brewing Company	German Kölsch
208	Citra Ale	4.80	YellowBelly Beer	American Pale Ale (APA)
209	Pedal Bite	5.40	North by Northwest Restaurant & Brewery	American Pale Ale (APA)
210	The Hef	5.20	Frankenmuth Brewery	German Hefeweizen
211	TR3S	9.50	NOVO Brazil Brewing Co.	American Imperial IPA
212	Prince Myshkin - Three-Vintage Blend	10.00	Dock Street Brewery & Restaurant	Russian Imperial Stout
213	Somewhither	6.00	Medusa Brewing Company	Berliner Weisse
214	Murky Dimensions	8.40	Junkyard Brewing Company	American Imperial IPA
215	Party Trick	7.50	Mast Landing Brewing Company	American Stout
216	Chronic Ale	4.95	Pizza Port Solana Beach	American Amber / Red Ale
217	Distant Morning	7.00	Bluejacket / Arsenal Restaurant	American IPA
218	Southern Session IPA	5.20	Natty Greene's Pub & Brewing Co.	American IPA
219	Barny	5.00	Birrificio Valsusa (Birra Laval)	Belgian Pale Ale
220	Scottish Moor	6.00	Black Hoof Brewing Co.	Scotch Ale / Wee Heavy
221	Phillips Benefit Brew Yamnuska Wofldog Sanctuary West Coast ESB	?	Phillips Brewing Company	English Extra Special / Strong Bitter (ESB)
222	La Montagnarde [Brasserie Des Rocs Ambree]	9.00	Brasserie de l'Abbaye des Rocs s.a.	Belgian Strong Dark Ale
223	Gather Keller Pilsner	5.50	Fox Farm Brewery	German Pilsner
224	No Comment	8.10	Monkish Brewing Co.	American IPA
225	077-10990 - Chinook	7.80	Carton Brewing Company	American Imperial IPA
226	Little Brett	4.80	Allagash Brewing Company	American Brett
227	Chavez	6.50	Sante Adairius Rustic Ales	American Porter
228	Wheelhouse - Barrel-Aged	10.70	Four Fathers Brewing	American Imperial Stout
229	Birra Vento	9.30	The Bruery	Belgian Tripel
230	Brother Anthony	6.00	Laughing Monk Brewing	American IPA
231	Porter	5.50	Southern Tier Brewing Company	American Porter
232	Gummy Worms	5.80	New Glory Craft Brewery	American Pale Ale (APA)
233	Hangar 24 Orange Wheat	4.60	Hangar 24 Brewing	Fruit and Field Beer
234	Stonefruit Popsicle	?	The Answer Brewpub	Leipzig Gose
235	Éponyme	6.00	de Garde Brewing	American Wild Ale
236	Bad Mother Shucker	8.00	Abita Brewing Co.	American Stout
237	Three Fourteen	5.90	Brewski	American IPA
238	Barrel Aged Cherry Truffle Abduction	13.00	Pipeworks Brewing Company	American Imperial Stout
239	Micro IPA	4.20	Frost Beer Works	American IPA
240	Barrel Aged Mrs. O'Leary's Chocolate Milk Stout W/Raspberries	7.00	Spiteful Brewing	English Sweet / Milk Stout
241	Blaecorn Unidragon	12.50	Clown Shoes	Russian Imperial Stout
242	Citra Splendor	8.30	Manor Hill Brewing	American Imperial IPA
243	Nova Vert	6.80	Parish Brewing Company	New England IPA
244	Ready Player One	4.80	Level Beer	Belgian Saison
245	Jones Dog Sundae	8.00	Pipeworks Brewing Company	English Sweet / Milk Stout
246	Blitzen Holiday Ale	7.70	Maumee Bay Brewing Company	Winter Warmer
247	Symmetric Orchestra	7.00	Modern Times Beer	American Wild Ale
248	Copper John Scotch Ale	7.00	Madison River Brewing Company	Scotch Ale / Wee Heavy
249	Pompeii	6.20	Toppling Goliath Brewing Company	New England IPA
