	beer_name	abv	brewery	type
13590	Grain Man	11.00	Local Craft Beer	American Imperial IPA
13591	Down Under Thunder	7.10	Beachwood BBQ & Brewing	American IPA
13592	Whiled Away IPA	6.50	Stormcloud Brewing Company	Belgian IPA
13593	Pelforth Brune	6.50	Brasserie Heineken	English Brown Ale
13594	Macon Love	5.00	Macon Beer Company	Fruit and Field Beer
13595	Mellow Cherry Hibiscus	7.00	North Peak Brewing Company	Fruit and Field Beer
13596	Moose & Squirrel Russian Imperial Stout	8.00	Laurelwood Public House & Brewery	Russian Imperial Stout
13597	Winter Stout	5.60	Saint Arnold Brewing Company	American Stout
13598	Coconut Lime Kölsch	4.70	Peak Organic Brewing Company	German Kölsch
13599	Reactor	7.00	Tapistry Brewing	American IPA
13600	Oldest Viscosity	?	Port Brewing	American Strong Ale
13601	Peanut Butter Gelli Time	6.50	Triptych Brewing	English Sweet / Milk Stout
13602	Smittlefest	6.00	Thirsty Planet Brewing Company	German Märzen / Oktoberfest
13603	Paulaner Oktoberfest Wiesn	6.00	Paulaner Brauerei GmbH & Co. KG	German Märzen / Oktoberfest
13604	Hummer	5.00	Greenport Harbor Brewing Company	American Lager
13605	Premiere IPA - Double Dry-Hopped	6.00	Interboro Spirits and Ales	New England IPA
13606	Chubbles	10.90	The Veil Brewing Co.	New England IPA
13607	Northwest IPA	5.50	KettleHouse Brewing Co. (Southside Taproom)	American IPA
13608	Missing Elf	9.50	Rinkuškiai	German Doppelbock
13609	Captain's Daughter	8.50	Grey Sail Brewing of Rhode Island	American Imperial IPA
13610	Stardust IPA	6.40	Lamplighter Brewing Company	American IPA
13611	Stompin' Grounds Coffee Stout	8.10	Uinta Brewing Company	American Stout
13612	Cognac Barrel Aged Moloko	?	3 Floyds Brewing Co.	English Sweet / Milk Stout
13613	Beavers Milk	5.30	Belching Beaver Brewery	English Sweet / Milk Stout
13614	Oxtongue IPA	6.20	Lake of Bays Brewing Company	American IPA
13615	Legbiter	4.80	Strangford Lough Brewing Company Ltd	English Pale Ale
13616	Do You Think They Have A Merch Table	7.50	Hoof Hearted Brewing	American IPA
13617	Mango IPA	7.50	Persimmon Hollow Brewing	American IPA
13618	4th Anniversary DIPA	9.00	Austin Street Brewery	American Imperial IPA
13619	Del Mar Vale	3.90	Eastern Shore Brewing	English Dark Mild Ale
13620	Amager / Surly - Todd The Axe Man	6.50	Amager Bryghus	American IPA
13621	Old Scratch Amber Lager	5.50	Flying Dog Brewery	American Amber / Red Lager
13622	Tart Apple Radler	4.10	Boulevard Brewing Co.	Fruit and Field Beer
13623	Contemporary Mosaic	7.30	Levante Brewing Company	American IPA
13624	Weihenstephaner Pale Ale	6.10	Bayerische Staatsbrauerei Weihenstephan	American Pale Ale (APA)
13625	Tuborg Pilsner Beer (Green / Grøn)	4.60	Tuborgs Bryggerier A/S	European Pale Lager
13626	Side Four	8.00	SingleCut Beersmiths	American Imperial Pilsner
13627	Hype Forager East Coast Turbid IPA	6.40	Trinity Brewing Company	American IPA
13628	Ten FIDY - Bourbon Barrel Aged	12.90	Oskar Blues Grill & Brew	Russian Imperial Stout
13629	Grendel	5.20	Saucony Creek Brewing Company + Gastropub	Bohemian Pilsener
13630	Bo & Luke - Hazelnut Cocoa	13.00	Against The Grain Brewery & Smokehouse	American Imperial Stout
13631	Antik	12.00	Jackie O's Pub & Brewery	American Imperial Porter
13632	Tusk & Grain Brandy Barrel Aged Coffee Porter	12.85	Saint Archer Brewing Co.	American Porter
13633	Kwai Mi A River	4.90	Hourglass Brewing	Berliner Weisse
13634	San Miguel Super Dry	4.80	San Miguel Brewery Inc.	American Adjunct Lager
13635	New England Style India Pale Ale With Honey	9.00	Wyndridge Farm Brewing	American Imperial IPA
13636	Boysen Rebus	?	Grimm Artisanal Ales	American Wild Ale
13637	Aruba Red	4.00	Anheuser-Busch	American Amber / Red Lager
13638	Te	4.30	Burdock	American Wild Ale
13639	Cuve Duke	14.00	OH! LA! HO Beer Club	British Barleywine
13640	Milk of the Gods (Pink Guava and Peaches)	7.50	Mortalis Brewing Co.	American Imperial IPA
13641	Fog Breaker IPA	6.80	Anchor Brewing Company	American IPA
13642	Blood Orange IPA	6.20	Prince Edward Island Brewing Company	American IPA
13643	Mack Attack	8.50	Lost Tavern Brewing	American Imperial IPA
13644	Ildegarda	10.50	Birra Toccalmatto	American Imperial IPA
13645	Beck's Oktoberfest	5.00	Brauerei Beck & Co.	German Märzen / Oktoberfest
13646	Barrel Aged Old Jetty	12.30	El Segundo Brewing Company	American Barleywine
13647	Hell’s Half Acre Vanilla Bean BA W Maple and Coffee	11.90	Jackson Street Brewing	American Imperial Stout
13648	Revery	10.70	Foolproof Brewing Company	Russian Imperial Stout
13649	Leinenkugels Wisconsin Red Pale Ale	5.60	Jacob Leinenkugel Brewing Company	American Pale Ale (APA)
13650	Almanac Emperor Norton	9.00	Almanac Beer Co.	Belgian IPA
13651	Hand & Seal	13.30	Brooklyn Brewery	British Barleywine
13652	Barnstorm	8.00	Falling Branch Brewery	Belgian Strong Dark Ale
13653	Liquid Rapture	8.20	Mason's Brewing Company	American Imperial IPA
13654	The Cryomancer	7.00	Miskatonic Brewing Company	American IPA
13655	Hofbräu Maibock (Urbock)	7.20	Hofbräuhaus München	German Maibock
13656	Bud Light Lime Berry-A-Rita	8.00	Anheuser-Busch	American Malt Liquor
13657	Love Child No. 8	8.20	Boulevard Brewing Co.	American Wild Ale
13658	Heaven Or Helles	5.00	Boston Beer Company (Samuel Adams)	German Helles
13659	Skin & Bone	5.80	Birds Fly South Ale Project	American Wild Ale
13660	Christmas Cookie Ale	7.20	Sycamore Brewing	American Cream Ale
13661	Mondo Birra	10.00	4 Noses Brewing Company	Russian Imperial Stout
13662	Humpty Plumpty	3.70	Arkane Aleworks	Berliner Weisse
13663	Dirty Myrtle	8.90	New South Brewing Co.	American Imperial IPA
13664	Pilot #1 w/ Galazy	4.40	Iron Brewing Company	American Pale Ale (APA)
13665	Midnight Lightning	11.80	Tioga-Sequoia Brewing Company	American Imperial Stout
13666	Barrel Trolley Amber Ale	4.50	World Brews	American Amber / Red Ale
13667	Disciple's Revenge	9.80	18th Street Brewery - Gary Taproom	American Imperial IPA
13668	Barking Squirrel Lager	5.00	Hop City Brewing Co.	American Amber / Red Lager
13669	Vintage 2014	?	Side Project Brewing	Belgian Lambic
13670	Kilogramme IPA	6.80	Pub BreWskey	American IPA
13671	A Hop And A Dream: Galaxy IPA	6.20	Steady Habit Brewing Company	American IPA
13672	Blue Moon Summer Honey Wheat	5.20	Coors Brewing Company (Molson-Coors)	American Pale Wheat Ale
13673	Hooloomooloo	10.00	Modern Times Beer	American Imperial IPA
13674	Bodenbrecher	7.00	Hinterland Brewery Restaurant	American Imperial Pilsner
13675	Wall-I PA	?	Northwoods Brewpub and Grill	American IPA
13676	Heverlee	4.80	Brouwerij Martens NV	European Pale Lager
13677	DDH Sunshine Express	5.00	Butcherknife Brewing Company	American IPA
13678	Henry's Farm Double Bock	7.80	Two Roads Brewing Company	German Doppelbock
13679	Hopfen Spezial	6.70	Hofbräuhaus Newport	American Lager
13680	Extra Pulp	8.50	Civil Society Brewing	American Pale Wheat Ale
13681	Rodeo Clown Double IPA	9.80	Karbach Brewing Co.	American Imperial IPA
13682	Stacy's Mom	7.50	Evil Genius Beer Company	American IPA
13683	Framboozen Saison	6.00	Bokkereyder	Belgian Fruit Lambic
13684	Elements Of Funk: Brettanomyces Drei	6.50	Bruery Terreux	American Brett
13685	Schwarzbier	4.80	River City Brewing Co.	German Schwarzbier
13686	Spelt	7.50	Cellador Ales	American Wild Ale
13687	Barrel Aged Dark Secret Rum w/Vanilla	13.00	BrickStone Restaurant & Brewery	American Imperial Stout
13688	Grazer - American Wheat Ale	4.20	Bolero Snort Brewery	American Pale Wheat Ale
13689	Drew Curtis / Wil Wheaton / Greg Koch Stone Farking Wheaton w00tstout 2.0	13.50	Stone Brewing	American Imperial Stout
13690	Fuzzy Dice	4.50	Austin Beerworks	American Pale Ale (APA)
13691	Sir Turnaround	5.50	Brouwerij het Uiltje	American Black Ale
13692	Breakout Stout	7.80	Jailhouse Brewing Company	American Stout
13693	Spiritual Consultant	7.50	Grimm Artisanal Ales	New England IPA
13694	Coconut City	12.00	More Brewing Co.	American Imperial Stout
13695	BBA Ye Old Battering Ram	11.90	MadTree Brewing	American Barleywine
13696	Windansea Wheat Hefeweizen	5.10	Karl Strauss Brewing Company	German Hefeweizen
13697	Crowd Pleaser Juicy IPA	7.10	Wildcard Brewing	American IPA
13698	Fuzzielucious	6.40	Last Stand Brewing Company	American IPA
13699	Raspberry Lime Rickey	4.50	Jack's Abby Brewing	American Light Lager
13700	Barrel Aged X-9 Coffee Stout	6.20	DuClaw Brewing Company	American Stout
13701	Ibex Series: Barrel-Aged Imperial Stout	10.20	The Schlafly Tap Room	Russian Imperial Stout
13702	Sonic Daydream	8.00	Other Half Brewing Co.	American Imperial IPA
13703	See, What Had Happened Was...	8.50	Cypress Brewing Company	New England IPA
13704	Departure	6.17	Boondoggle Beers	American Pale Ale (APA)
13705	Pineapple Mojito FroYo	6.30	Ingenious Brewing Company	American IPA
13706	All Lit Up	7.00	Garrison Brewing Company	Winter Warmer
13707	Long Beach Crude	6.50	Belmont Brewing Company	Baltic Porter
13708	Sherpa's Survival Kit	8.50	Forager Brewing Company	American Imperial Stout
13709	EurekaSeoul Lemondrop Hop Ale	6.50	The Booth Brewing Co.	American IPA
13710	Lièvre De Nuit	5.10	Microbrasserie du Lièvre	English Oatmeal Stout
13711	Shiner 777 IPL	7.00	Spoetzl Brewery / Shiner	American Imperial Pilsner
13712	Liefmans Pale Sour Ale	6.90	Brouwerij Liefmans	Belgian Pale Ale
13713	Professor IPA	6.60	Cranker's Brewery	American IPA
13714	Dr. Thrillride	5.00	Short's Brewing Company	American Porter
13715	JU-C Double IPA	8.00	Madison Brewing Co.	American Imperial IPA
13716	Other Half / Equilibrium - Einstein’s Daydream	8.50	Other Half Brewing Co.	American Imperial IPA
13717	Cheval D'Or	5.80	Grimross Brewing Co.	Belgian Saison
13718	Local Dork 3.2	6.60	Foam Brewers	American IPA
13719	Shock Top Chocolate Wheat	4.30	Anheuser-Busch	American Dark Wheat Ale
13720	Saranac Gen IV Session IPA	4.50	Matt Brewing Company / Saranac Brewery	American IPA
13721	Pulp Friction	7.80	RAR Brewing (Realerevival)	American IPA
13722	Boat Show	7.00	Yellow Springs Brewery	American IPA
13723	Chinook	?	Market Brewing Company	American Pale Ale (APA)
13724	Rolle Bolle	5.50	New Belgium Brewing	Fruit and Field Beer
13725	Box & Whisker Horchata	?	Garrison City Beerworks	American Imperial Stout
13726	Obaa One	6.90	Belgo Sapiens Brewers	Belgian IPA
13727	Big Cranky Double IPA	9.50	Stony Creek Brewery	American Imperial IPA
13728	Shipwreck IPA	6.50	Lighthouse Brewing Company	American IPA
13729	IPL Vic Secret Ekuanot	6.00	Cloudwater Brew Co.	American Lager
13730	Cantillon One Year Unblended Lambic	?	Brasserie Cantillon	Belgian Lambic
13731	Smoke Me Out	6.60	Triptych Brewing	Smoke Beer
13732	Hazy Orange Tears W/ Blackberry	5.50	Aslin Beer Company	American Wild Ale
13733	Dark Arts - Tequila Barrel-Aged	15.00	Wicked Weed Brewing	Russian Imperial Stout
13734	The Pit Boss Triple IPA	10.00	Pair O' Dice Brewing Company	American Imperial IPA
13735	Simcoe Nerd	7.50	Seperatist Beer Project / Separatist Bar + Bottle	American Imperial IPA
13736	Defloured N.E.P.A.	6.50	Witch's Hat Brewing Co.	American IPA
13737	Razzle Dazzle	6.50	Laughing Monk Brewing	English Oatmeal Stout
13738	Arctic Breacfast	5.80	Fox Brewing Company	American Brown Ale
13739	D.O.R.I.S. The Destroyer - Barrel-Aged	10.50	Hoppin' Frog Brewery	Russian Imperial Stout
13740	Bear	6.40	Tree House Brewing Company	American Brown Ale
13741	Ta Plus Meilleure (Fruit De La Passion)	8.50	Lagabière Brasserie Artisanale	American Imperial IPA
13742	Gully Cat	6.60	Skull Mechanix Brewing	American IPA
13743	Ola Dubh Special Reserve 18	8.00	Harviestoun Brewery Ltd.	English Old Ale
13744	Tilted Earth IPA Series: Spring IPA	6.00	Arbor Brewing Company	American IPA
13745	Mittelfruh Kolsch	5.10	Iron Brewing Company	German Kölsch
13746	25 Dodici	9.50	Birra Del Borgo	Winter Warmer
13747	Saison du Maiden	6.50	Noble Creature Cask House	Belgian Saison
13748	Adam Bomb IPA	7.30	Blackstone Restaurant & Brewery	American IPA
13749	Azaccanot 51K IPA	7.00	Blackrocks Brewery	American IPA
13750	Beer Camp: Hoppy Lager (2015)	7.00	Sierra Nevada Brewing Co.	American Lager
13751	Imperial Smells Like Bean Spirit Special Roast	10.50	Mikerphone Brewing	American Imperial Stout
13752	O'Hoppy NIght	7.20	Headtrip Brewery	American Black Ale
13753	Coconut Chocolate Imperial Stout	9.00	Appalachian Mountain Brewery	American Imperial Stout
13754	Jabalí Bock	6.00	Cerveceria Primus	German Bock
13755	Barrel Series Brett Saison	7.70	Blackberry Farm Brewery	Belgian Saison
13756	Roseate Blend 1	6.00	Floodland Brewing	American Wild Ale
13757	Export	5.20	Fort Point Beer Company	European Export / Dortmunder
13758	Caledonia Hop Scotch	5.00	Tennent Caledonian Breweries	Scottish Ale
13759	U Medvidku 1466	6.10	Minipivovar U Medvídků	European Pale Lager
13760	Intensely Juicy Dank Beautiful (Copy & Paste)	5.90	Tired Hands Brewing Company	American Pale Ale (APA)
13761	Lemon-Hop Stand	7.80	Short's Brewing Company	American Cream Ale
13762	Chocolate Truffle Stout	7.10	Thomas Hooker Brewing Company	English Sweet / Milk Stout
13763	Axis IPA	7.00	Real Ale Brewing Company	American IPA
13764	Dorothy’s New World Lager With Lime	?	Toppling Goliath Brewing Company	California Common / Steam Beer
13765	Black Eye Ale	6.50	Mendocino Brewing Company	American Porter
13766	Zoltan	4.50	Austin Beerworks	American Wild Ale
13767	Session Lager	5.10	Full Sail Brewing Company	American Lager
13768	Birth Of Liquid Desire	8.00	Relic Brewing Co.	American Imperial IPA
13769	Staycation	4.80	Karbach Brewing Co.	American Pale Wheat Ale
13770	Cold Brew Coffee Stout	7.50	Golden State Brewery	American Stout
13771	Bent De Garde	8.00	Braindead Brewing	French Bière de Garde
13772	Money Moves	6.50	Southern Grist Brewing Co.	English Sweet / Milk Stout
13773	Grape Lakes American Wheat Ale	5.30	Five & 20 Spirits and Brewing	American Pale Wheat Ale
13774	Guava Sour	?	Adelbert's Brewery	American Wild Ale
13775	Wet Hopped IPA	5.00	Ship Bottom Brewery	American IPA
13776	Hops N' Roses	7.00	Captain Lawrence Brewing Co.	American Wild Ale
13777	Hoptometrist	9.00	Roughtail Brewing Co.	American Imperial IPA
13778	Distelhäuser Landbier	5.10	Distelhäuser Brauerei	European Export / Dortmunder
13779	El Lupulo Libre	8.80	The Brew Kettle Taproom & Smokehouse / Production Works	American Imperial IPA
13780	Hundred	12.00	Brouwerij Kees	Russian Imperial Stout
13781	Flower Sour	6.50	Hermitage Brewing	American Wild Ale
13782	Darkness - Bourbon Barrel-Aged	10.30	Surly Brewing Company	Russian Imperial Stout
13783	Capitola Sunset	5.70	Sante Adairius Rustic Ales	Belgian Saison
13784	Big Rock XO Lager	5.00	Big Rock Brewery	Bohemian Pilsener
13785	Scattered Sun Belgian Wit	5.20	Southbound Brewing Company	Belgian Witbier
13786	Bog Sauce	4.50	Toolbox Brewing Company	Berliner Weisse
13787	Special Amber	5.00	Sprecher Brewing Company	Vienna Lager
13788	Billionaire	12.00	Clown Shoes	British Barleywine
13789	Fader	5.00	Half Acre Beer Company	German Pilsner
13790	Korbin Double IPA	?	Akasha Brewing Company	American Imperial IPA
13791	Barrel-Aged Wandering Bine	5.30	Threes Brewing	Belgian Saison
13792	Pitter Patter	8.00	Side Project Brewing	American Wild Ale
13793	Lady Of The Night	6.19	Urban Family Brewing Co.	American Wild Ale
13794	Hop Tropikos 002 - Simcoe & Amarillo	6.00	Basic City Beer Company	American IPA
13795	Sticke Alt	6.80	Brasserie Dieu du Ciel!	German Altbier
13796	Orange Shake-o-Matic	7.10	Junkyard Brewing Company	American IPA
13797	Broad Axe Stout	5.50	Granite City Food & Brewery	English Oatmeal Stout
13798	Roll Cage Red	6.50	Motorworks Brewing	American Amber / Red Ale
13799	Keybilly	5.40	Brew Hub	American Amber / Red Ale
13800	Rosé Gosé	4.20	Hoof Hearted Brewing	Leipzig Gose
13801	Bourbon Drunken Monk	9.60	Persimmon Hollow Brewing	Belgian Strong Dark Ale
13802	4th Anniversary Double Shot	8.40	Tree House Brewing Company	American Imperial Stout
13803	Market Fresh #13	6.50	Cloudburst Brewing	Belgian Saison
13804	Hop Damn! IPA	7.50	Barrier Brewing Company	American IPA
13805	Thirsty Frog Red Ale	?	Anheuser-Busch	American Amber / Red Ale
13806	Fountain of Paradise	8.50	Modern Times Beer	American Imperial IPA
13807	Absolutely Okay	12.90	Cigar City Brewing	Belgian Strong Dark Ale
13808	Hopbird	4.50	Austmann Bryggeri	American Pale Ale (APA)
13809	Commander	12.50	Lift Bridge Brewery	British Barleywine
13810	Neapolitan Milk Stout - Bourbon Barrel-Aged	10.50	Saugatuck Brewing Company	English Sweet / Milk Stout
13811	Hoppy Holidaze	7.00	Marin Brewing Company	Winter Warmer
13812	Sauerlump	3.00	Collabs Brewery	Berliner Weisse
13813	Pugsley's Signature Series: Smashed Blueberry	9.00	Shipyard Brewing Company	Fruit and Field Beer
13814	Brooklyn Blast!	8.40	Brooklyn Brewery	American Imperial IPA
13815	India Pale Ale	8.00	Double Nickel Brewing Company	American IPA
13816	Luponic Plague	7.00	Amundsen Bryggeri & Spiseri	American IPA
13817	O'Doul's	0.50	Anheuser-Busch	Low Alcohol Beer
13818	Works Of Love 2015: Cigar City 2015	?	Hill Farmstead Brewery	American Wild Ale
13819	Miigwetch	5.00	Cypress Brewing Company	American Pale Ale (APA)
13820	Kuhnhenn Raspberry Eisbock	15.50	Kuhnhenn Brewing Company	German Eisbock
13821	Mo-Ella	5.25	Kettlehead Brewing Company	American IPA
13822	Supa' Sumo	7.80	Toppling Goliath Brewing Company	American Imperial IPA
13823	Nu Skool IPA	6.00	Southern Tier Brewing Company	American IPA
13824	Radical Rye IPA	6.60	Gnarly Barley Brewing Company	American IPA
13825	Saranac Imperial IPA	8.50	Matt Brewing Company / Saranac Brewery	American Imperial IPA
13826	Chains	7.00	J. Wakefield Brewing	American IPA
13827	Wall Of Sound	5.60	Stereo Brewing	English Oatmeal Stout
13828	Onbekende soldaat	8.00	Brouwerij De Vlier	Belgian Strong Dark Ale
13829	Blackberry CoCo Stout	6.00	West O Beer	American Stout
13830	Samuel Adams Harvest Hefe	5.40	Boston Beer Company (Samuel Adams)	German Hefeweizen
13831	Milagro	5.30	Pure Project	Irish Dry Stout
13832	Firestone 21 - Anniversary Ale	11.80	Firestone Walker Brewing Co.	American Strong Ale
13833	Idolatrous IPA	7.00	Stone Brewing	American IPA
13834	Oil Of Aphrodite	10.00	Jackie O's Pub & Brewery	American Imperial Stout
13835	Blah Blah Blah IPA	8.00	21st Amendment Brewery	American Imperial IPA
13836	Whiskey Barrel-Aged Mint Julep	12.00	Funky Buddha Brewery	American Strong Ale
13837	Solaris	5.40	Baerlic Brewing Company	Rye Beer
13838	Port Barrel-Aged Barleywine-Style Ale	10.00	Cigar City Brewing	American Barleywine
13839	Zure Van Tildonk 2015	6.00	Brouwerij Hof Ten Dormaal	Belgian Lambic
13840	No Man Is An Island	8.70	Thunder Island Brewing	American Brown Ale
13841	Kirkland Signature India Pale Ale	6.50	Kirkland Signature / Costco Wholesale Corporation	American IPA
13842	El Heffe (Jalepeno Hefeweizen)	5.20	Banger Brewing	Chile Beer
13843	One Hop This Time: Amarillo	6.00	Night Shift Brewing	American IPA
13844	Submission	8.60	Boomtown Brewery	Belgian Strong Pale Ale
13845	Raspberry All That You Are	5.60	The Veil Brewing Co.	Belgian Saison
13846	Cocoa Mapalm	10.00	Aslin Beer Company	American Imperial Stout
13847	Doubleganger Guava	?	Tree House Brewing Company	American Imperial IPA
13848	Humuloid	8.00	Beavertown Brewery	American Imperial IPA
13849	Big Piney	7.00	Christian Moerlein Brewing Company	American IPA
13850	New England Style	5.60	Brouwerij De Prael	American IPA
13851	Television	6.30	Mystic Brewery	American IPA
13852	Festbier	5.60	Victory Brewing Company - Downingtown	German Märzen / Oktoberfest
13853	Porter	7.00	White Squirrel Brewery	American Porter
13854	3 Picket Porter	5.50	Crooked Fence Brewing	American Porter
13855	Shiner Hill Country Peach Wheat (Brewer's Pride Craft Brew No. 11)	4.50	Spoetzl Brewery / Shiner	Fruit and Field Beer
13856	Bourbon Fred From The Wood	12.00	Hair Of The Dog Brewing Company / Brewery And Tasting Room	American Strong Ale
13857	Basil IPA	6.80	Scratch Brewing Company	American IPA
13858	Ingenio	6.00	Steel Bender Brewyard	Belgian Witbier
13859	Hazy McHazeface	5.40	Lift Bridge Brewery	New England IPA
13860	Darkness - Woodford Reserve Rye Whiskey Barrel-Aged - 2017	12.00	Surly Brewing Company	Russian Imperial Stout
13861	Coffee Shot in the Arm	13.00	McFate Tap + Barrel - North Scottsdale	American Imperial Stout
13862	Double Scatterbrain - DDH W/Citra	8.00	Bearded Iris Brewing	American Imperial IPA
13863	Nebuloid: Helix	6.50	Unsung Brewing Company	American IPA
13864	Double Drifter	8.50	Sand City Brewing Co.	American Imperial IPA
13865	Whiskey Sour	4.50	Carolina Bauernhaus	American Wild Ale
13866	Eternal	4.10	Northern Monk Brew Co.	American IPA
13867	Hefeweizen Ale	5.20	Bull Falls Brewery	German Hefeweizen
13868	Blood Orange Radler	3.50	Karbach Brewing Co.	Fruit and Field Beer
13869	Howler	8.20	Topa Topa Brewing	American IPA
13870	Iron Jack Full Strength Lager	4.20	Legendary Brewing Co	American Adjunct Lager
13871	Magical & Delicious	5.50	Fall Brewing Company	American Pale Ale (APA)
13872	Sunday River Lager	?	Sunday River Brewing Co.	Bohemian Pilsener
13873	BA King Gary Loves The Coco	10.00	Civil Society Brewing	American Imperial Stout
13874	Tap It IPA	7.00	Tap It Brewing Co.	American IPA
13875	Casual Experimentation Dry-Hopped American Wheat	5.50	2nd Shift Brewing	American Pale Wheat Ale
13876	Citra Galactic Planetary	9.20	Windmill Brewing	American Imperial IPA
13877	The Third Nail	6.00	Holy Mountain Brewing Company	Belgian Pale Ale
13878	Rift	6.50	Central Waters Brewing Co.	American IPA
13879	Wheach	5.10	O'Fallon Brewery	Fruit and Field Beer
13880	Downright Pilsner	4.80	Port City Brewing	Bohemian Pilsener
13881	Wojtek	7.60	Elmhurst Brewing Co.	Baltic Porter
13882	Imperial Eclipse Stout - Heaven Hill Rittenhouse Rye	11.90	FiftyFifty Brewing Co.	American Imperial Stout
13883	Abuela’s Casita	6.00	Pelican Pub & Brewery	American Stout
13884	"Big ""D"" Jamboree"	6.30	Pegasus City Brewery	German Märzen / Oktoberfest
13885	Kalamazoo Stout	6.00	Bell's Brewery - Eccentric Café & General Store	American Stout
13886	Habitual	5.30	Burley Oak Brewing Co.	American Pale Ale (APA)
13887	Drunken Monk	?	Persimmon Hollow Brewing	Belgian Strong Dark Ale
13888	Collective Project: Sour Pumpkin Saison	5.00	Collective Arts Brewing	Belgian Saison
13889	Kiwi Kick Punch	12.60	Free Will Brewing Co.	American Imperial IPA
13890	Petit Desay	5.00	de Garde Brewing	Belgian Saison
13891	Finback IPA	7.20	Finback Brewery	American IPA
13892	La Dee Dah	7.00	Loudoun Brewing Co.	American Brown Ale
13893	Doc's Pale Ale	5.50	Oak Creek Brewery and Grill	American Pale Ale (APA)
13894	Batch #029	4.80	Nowhere In Particular Brewing	American Wild Ale
13895	Resurrection Roggenbier	5.20	Cameron's Brewing Co.	German Roggenbier
13896	Hoppy Pils	5.20	pFriem Family Brewers	German Pilsner
13897	Porter	7.00	Nøgne Ø - Det Kompromissløse Bryggeri A/S	Baltic Porter
13898	Neutrino Pale Ale	5.30	Firefly Hollow Brewing Co.	American Pale Ale (APA)
13899	Saison Brett	7.50	Les Trois Mousquetaires	Belgian Saison
13900	Love Among the Ruins	7.00	Thornbridge Brewery	Fruit and Field Beer
13901	SFTU	7.00	Bugnutty Brewing Company	American IPA
13902	Blissful Ignorance	9.00	Lupulin Brewing	American Imperial IPA
13903	Watermelon Warhead	2.90	Feral Brewing Co.	Berliner Weisse
13904	West Bank Pale Ale	5.40	Minneapolis Town Hall Brewery	American Pale Ale (APA)
13905	Juicy Jay	7.00	Legion Brewing	American IPA
13906	Game Of Thrones: Hand Of The Queen	10.70	Brewery Ommegang	British Barleywine
13907	Barrel Aged American Presidential Stout	11.50	Arizona Wilderness Brewing Co.	American Imperial Stout
13908	Hop-On	6.00	Abita Brewing Co.	American Pale Ale (APA)
13909	Buxton / Omnipollo Yellow Belly Sundae	12.00	Buxton Brewery	American Imperial Stout
13910	Red Velvet Moo Joos	5.80	Brau Brothers Brewing Co. LLC	English Sweet / Milk Stout
13911	Dragon's Milk Reserve Cherry Chocolate	11.00	New Holland Brewing Company	American Imperial Stout
13912	Not Just Another Wit	7.40	Mikkeller ApS	Belgian Witbier
13913	Barbarian Blue	6.00	Rutland Beer Works	American IPA
13914	Double Stuffed Oreo & Cinnamon Hornswoggler	7.00	The Veil Brewing Co.	English Sweet / Milk Stout
13915	Danish Red Lager	5.00	Figueroa Mountain Brewing Co.	Vienna Lager
13916	Legion	10.00	Community Beer Company	Russian Imperial Stout
13917	J.R.E.A.M. - Apricot Raspberry	4.80	Burley Oak Brewing Co.	American Wild Ale
13918	Death Valley Pale Ale	?	Indian Wells Brewing Company	American Pale Ale (APA)
13919	Def Leppard Pale Ale	6.00	Elysian Brewing Company	American Pale Ale (APA)
13920	Anne Marie's Amber	6.00	Iron Springs Pub & Brewery	American Amber / Red Ale
13921	Bad Rooster	6.70	Stone Corral Brewery	American IPA
13922	Jose Pimiento	7.00	Sante Adairius Rustic Ales	Chile Beer
13923	EOS Hefeweizen	5.20	Nebraska Brewing Company	German Hefeweizen
13924	Barrel Aged Work From Home (2017)	12.50	Cerebral Brewing	American Imperial Porter
13925	Comet Blue Corn Cream Ale	7.34	1905 Brewing Company	American Cream Ale
13926	Old Guardian Barley Wine Style Ale - Oak-Smoked	11.40	Stone Brewing	American Barleywine
13927	Rubus Cacao	9.00	MadTree Brewing	American Stout
13928	Yuzu Wit	4.80	Ritual Brewing Co.	Belgian Witbier
13929	Le Saison	6.60	Vista Brewing	Belgian Saison
13930	Hurricane High Gravity Malt Liquor	8.10	Anheuser-Busch	American Malt Liquor
13931	Blueberry Gose	4.20	Neshaminy Creek Brewing Company	Leipzig Gose
13932	Bière Léon	7.00	Brouwerij Alken-Maes	Belgian Pale Ale
13933	Farmer's Reserve Blueberry	7.00	Almanac Beer Co.	American Wild Ale
13934	El Guapo	?	Morgan Territory Brewing	American Lager
13935	Trail Porter	7.00	Side Project Brewing	American Porter
13936	Surprise Party	8.30	Monkish Brewing Co.	American Imperial IPA
13937	Nosferatu	8.00	Great Lakes Brewing Co.	American Imperial Red Ale
13938	Spin Cycle #7 - Vic Secret/Mosaic	8.00	New England Brewing Co.	American Imperial IPA
13939	Sawtooth - Nitro	5.30	Left Hand Brewing Company	English Extra Special / Strong Bitter (ESB)
13940	Economic Realities	7.40	Other Half Brewing Co.	American IPA
13941	Strawberry Upside Down Cake	7.50	Southern Grist Brewing Co.	American IPA
13942	Hazy Unfiltered IPA	6.40	Goat Patch Brewing	New England IPA
13943	Tiarna	7.10	Allagash Brewing Company	American Wild Ale
13944	Lawnraker	5.60	Land-Grant Brewing Company	German Märzen / Oktoberfest
13945	Afsana	4.20	Baltika-Baku	European Pale Lager
